reservation_id,user_id,room_id,check_in,check_out,nights,guests,booking_date,booking_channel,status,price_per_night,total_price
2013,337,1,2023-07-01,2023-07-02,1,2,2023-05-04,mobile_app,confirmed,171.89,171.89
1153,383,2,2023-07-01,2023-07-03,2,3,2023-05-30,web,confirmed,172.4,344.8
1945,21,3,2023-07-01,2023-07-03,2,1,2023-05-09,web,confirmed,124.26,248.53
2026,170,4,2023-07-01,2023-07-02,1,4,2023-06-02,web,confirmed,117.88,117.88
2022,710,5,2023-07-01,2023-07-02,1,1,2023-06-21,web,confirmed,114.57,114.57
2003,625,6,2023-07-01,2023-07-02,1,4,2023-06-10,phone,confirmed,70.09,70.09
1387,651,7,2023-07-01,2023-07-05,4,2,2023-06-06,agency,confirmed,167.37,669.49
2044,674,8,2023-07-01,2023-07-02,1,2,2023-06-27,mobile_app,confirmed,151.03,151.03
504,773,9,2023-07-01,2023-07-08,7,2,2023-06-20,agency,confirmed,115.25,806.78
1053,136,10,2023-07-01,2023-07-02,1,3,2023-05-14,agency,confirmed,171.06,171.06
2011,251,11,2023-07-01,2023-07-02,1,2,2023-06-18,phone,confirmed,116.19,116.19
1934,571,12,2023-07-01,2023-07-03,2,3,2023-05-25,phone,confirmed,117.34,234.68
1619,647,13,2023-07-01,2023-07-04,3,4,2023-05-08,web,confirmed,166.28,498.84
449,489,14,2023-07-01,2023-07-04,3,4,2023-05-29,agency,confirmed,103.93,311.8
846,129,15,2023-07-01,2023-07-02,1,4,2023-06-11,phone,confirmed,74.4,74.4
1708,681,16,2023-07-01,2023-07-04,3,3,2023-06-19,web,confirmed,130.59,391.77
2023,584,17,2023-07-01,2023-07-02,1,2,2023-05-21,mobile_app,confirmed,93.65,93.65
2033,580,18,2023-07-01,2023-07-02,1,4,2023-05-26,mobile_app,confirmed,132.38,132.38
1796,770,19,2023-07-01,2023-07-03,2,2,2023-05-17,web,confirmed,109.81,219.62
1890,190,20,2023-07-01,2023-07-03,2,1,2023-05-29,web,confirmed,155.72,311.44
2034,722,21,2023-07-01,2023-07-02,1,3,2023-05-12,agency,confirmed,134.58,134.58
1998,185,22,2023-07-01,2023-07-02,1,2,2023-06-15,mobile_app,confirmed,100.09,100.09
1682,259,23,2023-07-01,2023-07-04,3,4,2023-06-19,mobile_app,confirmed,179.24,537.72
688,33,24,2023-07-01,2023-07-04,3,3,2023-05-25,agency,confirmed,91.79,275.38
2010,530,25,2023-07-01,2023-07-02,1,4,2023-05-26,mobile_app,confirmed,101.47,101.47
22,216,26,2023-07-01,2023-07-02,1,1,2023-05-17,mobile_app,confirmed,68.62,68.62
1678,580,27,2023-07-01,2023-07-02,1,2,2023-06-10,agency,confirmed,98.97,98.97
1930,621,28,2023-07-01,2023-07-03,2,3,2023-05-06,phone,confirmed,139.77,279.54
1918,150,29,2023-07-01,2023-07-03,2,3,2023-06-11,mobile_app,confirmed,137.34,274.68
1893,663,30,2023-07-01,2023-07-02,1,2,2023-06-12,web,confirmed,141.15,141.15
2037,519,31,2023-07-01,2023-07-02,1,2,2023-06-05,mobile_app,confirmed,175.49,175.49
2046,651,32,2023-07-01,2023-07-02,1,3,2023-05-21,agency,confirmed,164.19,164.19
1843,424,33,2023-07-01,2023-07-03,2,3,2023-05-02,phone,confirmed,73.89,147.77
2041,6,34,2023-07-01,2023-07-02,1,2,2023-06-03,mobile_app,confirmed,61.12,61.12
761,178,35,2023-07-01,2023-07-03,2,3,2023-06-16,agency,confirmed,179.55,359.1
1616,212,36,2023-07-01,2023-07-04,3,2,2023-07-01,web,confirmed,121.39,364.18
968,785,37,2023-07-01,2023-07-02,1,3,2023-06-08,web,confirmed,66.07,66.07
857,653,38,2023-07-01,2023-07-04,3,2,2023-05-15,phone,confirmed,178.62,535.86
1018,570,39,2023-07-01,2023-07-05,4,3,2023-06-13,mobile_app,confirmed,170.67,682.68
1389,667,40,2023-07-01,2023-07-04,3,2,2023-06-12,mobile_app,confirmed,139.11,417.34
2036,37,41,2023-07-01,2023-07-02,1,3,2023-05-15,phone,confirmed,120.05,120.05
568,792,42,2023-07-01,2023-07-04,3,1,2023-06-08,mobile_app,confirmed,98.94,296.83
490,358,43,2023-07-01,2023-07-06,5,3,2023-06-27,phone,confirmed,128.7,643.52
1655,95,44,2023-07-01,2023-07-04,3,2,2023-06-05,phone,confirmed,72.09,216.28
2045,215,45,2023-07-01,2023-07-02,1,3,2023-05-14,agency,confirmed,68.16,68.16
1161,83,46,2023-07-01,2023-07-04,3,2,2023-06-15,web,confirmed,90.28,270.83
1778,413,47,2023-07-01,2023-07-02,1,4,2023-05-11,phone,confirmed,60.32,60.32
922,462,48,2023-07-01,2023-07-05,4,3,2023-06-14,web,confirmed,81.55,326.21
94,494,49,2023-07-01,2023-07-02,1,2,2023-06-03,mobile_app,confirmed,154.17,154.17
1523,501,50,2023-07-01,2023-07-03,2,1,2023-05-07,phone,confirmed,82.43,164.86
2018,9,51,2023-07-01,2023-07-02,1,4,2023-05-24,web,confirmed,160.7,160.7
1711,220,52,2023-07-01,2023-07-04,3,3,2023-05-03,phone,confirmed,116.08,348.23
1408,189,53,2023-07-01,2023-07-02,1,2,2023-06-07,phone,confirmed,95.72,95.72
1974,210,54,2023-07-01,2023-07-02,1,2,2023-05-16,phone,confirmed,86.88,86.88
1850,622,55,2023-07-01,2023-07-03,2,2,2023-07-01,mobile_app,confirmed,95.25,190.5
2012,261,56,2023-07-01,2023-07-02,1,3,2023-05-18,web,confirmed,152.1,152.1
1575,142,57,2023-07-01,2023-07-02,1,3,2023-06-27,agency,confirmed,178.31,178.31
410,85,58,2023-07-01,2023-07-03,2,3,2023-05-30,mobile_app,confirmed,99.0,198.01
2017,489,59,2023-07-01,2023-07-02,1,1,2023-05-23,phone,confirmed,110.62,110.62
1480,84,60,2023-07-01,2023-07-02,1,4,2023-06-07,mobile_app,confirmed,152.42,152.42
1885,424,61,2023-07-01,2023-07-03,2,2,2023-05-06,agency,confirmed,108.62,217.25
1983,624,62,2023-07-01,2023-07-02,1,3,2023-06-03,phone,confirmed,108.19,108.19
2043,686,63,2023-07-01,2023-07-02,1,1,2023-06-09,agency,confirmed,114.09,114.09
1264,394,64,2023-07-01,2023-07-03,2,3,2023-05-24,web,confirmed,175.1,350.2
1986,450,65,2023-07-01,2023-07-02,1,3,2023-06-08,phone,confirmed,138.32,138.32
1604,256,66,2023-07-01,2023-07-03,2,3,2023-05-31,mobile_app,confirmed,151.32,302.64
1757,541,67,2023-07-01,2023-07-02,1,4,2023-05-30,agency,confirmed,125.2,125.2
1540,408,68,2023-07-01,2023-07-02,1,4,2023-05-24,agency,confirmed,95.88,95.88
2035,97,69,2023-07-01,2023-07-02,1,4,2023-05-23,mobile_app,confirmed,167.74,167.74
974,148,70,2023-07-01,2023-07-04,3,3,2023-05-12,phone,confirmed,111.09,333.28
1602,452,71,2023-07-01,2023-07-02,1,4,2023-05-04,phone,confirmed,110.93,110.93
2016,10,72,2023-07-01,2023-07-02,1,2,2023-06-03,web,confirmed,73.48,73.48
1438,691,73,2023-07-01,2023-07-02,1,1,2023-05-20,web,confirmed,61.81,61.81
2007,701,74,2023-07-01,2023-07-02,1,1,2023-05-30,mobile_app,confirmed,81.76,81.76
2006,115,75,2023-07-01,2023-07-02,1,4,2023-06-22,phone,confirmed,152.98,152.98
704,486,76,2023-07-01,2023-07-05,4,2,2023-06-09,web,confirmed,92.38,369.52
2015,522,77,2023-07-01,2023-07-02,1,1,2023-06-27,phone,confirmed,144.05,144.05
1995,317,78,2023-07-01,2023-07-02,1,4,2023-05-17,phone,confirmed,87.88,87.88
821,505,79,2023-07-01,2023-07-05,4,3,2023-06-04,agency,confirmed,99.93,399.71
331,516,80,2023-07-01,2023-07-05,4,3,2023-05-29,phone,confirmed,74.4,297.59
1962,555,81,2023-07-01,2023-07-02,1,4,2023-06-28,web,confirmed,87.36,87.36
2019,731,82,2023-07-01,2023-07-02,1,4,2023-06-07,web,confirmed,107.58,107.58
515,683,83,2023-07-01,2023-07-06,5,1,2023-05-13,agency,confirmed,172.02,860.11
2039,64,84,2023-07-01,2023-07-02,1,2,2023-05-10,mobile_app,confirmed,173.28,173.28
1805,618,85,2023-07-01,2023-07-03,2,3,2023-06-29,agency,confirmed,108.42,216.84
2038,593,86,2023-07-01,2023-07-02,1,1,2023-06-05,mobile_app,confirmed,138.55,138.55
510,221,87,2023-07-01,2023-07-05,4,3,2023-06-06,web,confirmed,60.75,243.0
1421,320,88,2023-07-01,2023-07-05,4,2,2023-05-11,agency,confirmed,63.47,253.88
1016,448,89,2023-07-01,2023-07-06,5,3,2023-05-04,agency,confirmed,118.89,594.43
1539,161,90,2023-07-01,2023-07-04,3,2,2023-05-15,mobile_app,confirmed,79.57,238.7
295,673,91,2023-07-01,2023-07-02,1,1,2023-06-01,web,confirmed,86.74,86.74
2004,287,92,2023-07-01,2023-07-02,1,3,2023-06-05,agency,confirmed,148.93,148.93
632,760,93,2023-07-01,2023-07-05,4,2,2023-05-02,agency,confirmed,144.7,578.8
1689,243,94,2023-07-01,2023-07-03,2,3,2023-06-29,web,confirmed,135.06,270.11
1522,36,95,2023-07-01,2023-07-04,3,1,2023-05-17,agency,confirmed,146.61,439.82
1676,562,96,2023-07-01,2023-07-04,3,4,2023-06-15,mobile_app,confirmed,117.84,353.52
1036,307,97,2023-07-01,2023-07-03,2,2,2023-06-06,agency,confirmed,127.06,254.13
2025,718,98,2023-07-01,2023-07-02,1,1,2023-06-20,web,confirmed,113.88,113.88
1381,29,99,2023-07-01,2023-07-04,3,1,2023-05-28,agency,confirmed,82.19,246.57
1652,587,100,2023-07-01,2023-07-02,1,2,2023-05-18,phone,confirmed,149.36,149.36
1820,794,101,2023-07-01,2023-07-02,1,3,2023-05-05,mobile_app,confirmed,126.74,126.74
1937,206,102,2023-07-01,2023-07-02,1,4,2023-05-04,agency,confirmed,91.06,91.06
706,384,103,2023-07-01,2023-07-03,2,3,2023-05-10,web,confirmed,155.97,311.94
1372,635,104,2023-07-01,2023-07-03,2,1,2023-06-22,web,confirmed,132.32,264.64
1797,556,105,2023-07-01,2023-07-03,2,3,2023-05-31,agency,confirmed,166.83,333.67
2009,723,106,2023-07-01,2023-07-02,1,1,2023-05-31,mobile_app,confirmed,148.84,148.84
68,290,107,2023-07-01,2023-07-05,4,4,2023-05-11,agency,confirmed,134.58,538.33
2021,352,108,2023-07-01,2023-07-02,1,1,2023-07-01,agency,confirmed,126.78,126.78
2040,189,109,2023-07-01,2023-07-02,1,2,2023-06-16,agency,confirmed,108.35,108.35
373,508,110,2023-07-01,2023-07-06,5,4,2023-05-25,web,confirmed,95.26,476.29
69,594,111,2023-07-01,2023-07-06,5,2,2023-05-21,web,confirmed,110.08,550.4
2014,25,112,2023-07-01,2023-07-02,1,3,2023-05-04,mobile_app,confirmed,153.75,153.75
604,93,113,2023-07-01,2023-07-03,2,4,2023-06-17,phone,confirmed,172.11,344.22
1810,681,114,2023-07-01,2023-07-03,2,2,2023-05-19,phone,confirmed,86.48,172.96
1791,432,115,2023-07-01,2023-07-03,2,1,2023-06-23,web,confirmed,166.64,333.27
2027,166,116,2023-07-01,2023-07-02,1,2,2023-05-28,web,confirmed,75.68,75.68
1586,705,117,2023-07-01,2023-07-02,1,1,2023-05-11,agency,confirmed,90.6,90.6
482,201,118,2023-07-01,2023-07-04,3,3,2023-05-02,mobile_app,confirmed,69.53,208.59
1486,272,119,2023-07-01,2023-07-04,3,3,2023-05-07,agency,confirmed,154.98,464.94
